,full_name,selling_price,year,km_driven,fuel_type,transmission_type,company
2973,Volkswagen Polo GT,618000,2014,27363,Petrol,Automatic,Land
2974,Maruti Ertiga VXI,785000,2017,54688,CNG,Manual,Ambassador
2975,Land Rover Freelander,1200000,2009,97000,Diesel,Automatic,Hyundai
2976,Ambassador Classic 1800,90000,2001,10000,Petrol,Manual,Volkswagen
2977,Hyundai i20 Active,575000,2015,35000,Petrol,Manual,Maruti
2978,Volkswagen Polo 1.5,575000,2016,54162,Diesel,Manual,Maruti
2979,Maruti Swift VDI,350000,2013,100000,Diesel,Manual,Maruti
2980,Maruti Alto 800,290000,2015,90145,Petrol,Manual,Maruti
2981,Maruti Alto K10,180000,2011,70000,Petrol,Manual,Toyota
2982,Maruti Swift VDI,325000,2011,225000,Diesel,Manual,Hyundai
2983,Toyota Camry Hybrid,1190000,2014,60000,Petrol,Automatic,Renault
2984,Hyundai Xcent 1.2,511000,2014,17000,Petrol,Manual,Toyota
2985,Renault KWID Climber,411000,2018,15300,Petrol,Manual,Tata
2986,Toyota Corolla Altis,900000,2014,68000,Petrol,Automatic,BMW
2987,Tata Indigo LX,150000,2008,176126,Diesel,Manual,Maruti
2988,BMW 5 Series,1750000,2013,35000,Diesel,Automatic,Hyundai
2989,Maruti SX4 S,825000,2016,58476,Diesel,Manual,Maruti
2990,Hyundai Elantra CRDi,1351000,2016,29000,Diesel,Automatic,Ford
2991,Maruti Ciaz VDi,575000,2015,78000,Diesel,Manual,Honda
2992,Ford Fiesta 1.4,150000,2007,110000,Diesel,Manual,Datsun
2993,Honda City i,579000,2014,63351,Diesel,Manual,Chevrolet
2994,Datsun GO Plus,350000,2016,50000,Petrol,Manual,Mahindra
2995,Chevrolet Tavera Neo,800000,2015,90000,Diesel,Manual,Honda
2996,Mahindra Xylo E4,165000,2010,120000,Diesel,Manual,Hyundai
2997,Honda Jazz 1.2,615000,2015,41000,Petrol,Automatic,Hyundai
2998,Hyundai Grand i10,521000,2017,29000,Petrol,Manual,Audi
2999,Hyundai Verna 1.6,535000,2012,67000,Diesel,Manual,Tata
3000,Audi Q3 2.0,1150000,2014,107000,Diesel,Automatic,Fiat
3001,Tata Nano Lx,65000,2010,16000,Petrol,Manual,Renault
3002,Fiat Linea 1.4,275000,2011,71254,Petrol,Manual,Mahindra
3003,Renault KWID AMT,400000,2017,11000,Petrol,Automatic,Hyundai
3004,Mahindra KUV 100,475000,2017,42000,Petrol,Manual,Honda
3005,Hyundai i20 Magna,425000,2014,46500,Petrol,Manual,Maruti
3006,Honda BRV i-VTEC,725000,2016,50345,Petrol,Manual,Ford
3007,Maruti Wagon R,325000,2013,40200,Petrol,Manual,Hyundai
3008,Ford Ecosport 2015-2021,775000,2017,94500,Diesel,Manual,Maruti
3009,Hyundai i20 Magna,355000,2013,26000,Petrol,Manual,Hyundai
3010,Maruti Wagon R,295000,2014,135975,CNG,Manual,Honda
3011,Hyundai Grand i10,550000,2017,21000,Petrol,Manual,Hyundai
3012,Honda Amaze VX,600000,2015,44000,Diesel,Manual,Maruti
3013,Hyundai i20 Asta,630000,2015,85000,Diesel,Manual,Honda
3014,Maruti Wagon R,339000,2016,64000,Petrol,Manual,Tata
3015,Honda City i,844999,2017,54000,Petrol,Automatic,Toyota
3016,Tata Nano Twist,135000,2014,35000,Petrol,Manual,Maruti
3017,Toyota Innova 2.5,894999,2013,121000,Diesel,Manual,Maruti
3018,Maruti Eeco CNG,475000,2019,46000,CNG,Manual,Maruti
3019,Maruti Zen Estilo,173000,2010,20000,Petrol,Manual,BMW
3020,Maruti Alto LXi,185000,2011,72000,Petrol,Manual,Mahindra
3021,BMW X4 M,6500000,2019,7099,Diesel,Automatic,Volkswagen
3022,Mahindra Scorpio S10,1135000,2017,35000,Diesel,Automatic,Honda
3023,Volkswagen Vento Diesel,475000,2013,50000,Diesel,Manual,Maruti
3024,Honda WR-V i-VTEC,640000,2017,44500,Petrol,Manual,BMW
3025,Maruti Eeco 5,395000,2017,73630,CNG,Manual,Maruti
3026,BMW X1 sDrive20d,944999,2013,180000,Diesel,Automatic,Volkswagen
3027,Maruti Swift Dzire,625000,2013,47500,Diesel,Manual,Mahindra
3028,Volkswagen Jetta 1.6,311000,2010,88720,Petrol,Manual,Land
3029,Mahindra Xylo D4,325000,2016,133000,Diesel,Manual,Honda
3030,Land Rover Range,3400000,2011,78000,Diesel,Automatic,Honda
3031,Honda City i,625000,2014,66852,Diesel,Manual,Jeep
3032,Honda City i,844999,2016,47592,Petrol,Automatic,Hyundai
3033,Jeep Compass Black,1512000,2017,17485,Petrol,Automatic,Hyundai
3034,Hyundai Creta 1.6,1095000,2017,49000,Petrol,Automatic,Toyota
3035,Hyundai i20 1.2,350000,2012,36000,Petrol,Manual,Hyundai
3036,Toyota Innova Crysta,1845000,2018,27000,Diesel,Automatic,Toyota
3037,Hyundai Elantra 2.0,1375000,2018,34000,Petrol,Automatic,Chevrolet
3038,Toyota Innova Crysta,1664999,2016,125000,Diesel,Manual,Toyota
3039,Chevrolet Sail 1.3,350000,2014,135000,Diesel,Manual,Maruti
3040,Toyota Innova Crysta,1600000,2018,20000,Diesel,Manual,Maruti
3041,Maruti Celerio ZXI,475000,2017,22000,Petrol,Automatic,Hyundai
3042,Maruti Swift VXI,484999,2015,38000,Petrol,Manual,Maruti
3043,Hyundai Grand i10,475000,2015,25000,Petrol,Manual,Maruti
3044,Maruti Swift RS,409999,2013,195000,Diesel,Manual,Maruti
3045,Maruti Baleno Alpha,789000,2017,22000,Petrol,Manual,Maruti
3046,Maruti Ignis 1.2,575000,2017,33000,Petrol,Automatic,Maruti
3047,Maruti Ciaz Delta,830000,2019,5000,Petrol,Manual,Ford
3048,Maruti Swift Dzire,869999,2018,25000,Diesel,Automatic,Mahindra
3049,Ford Endeavour 3.2,2850000,2017,40700,Diesel,Automatic,Hyundai
3050,Mahindra Scorpio 1.99,975000,2017,35373,Diesel,Manual,Mercedes-Benz
3051,Hyundai Grand i10,450000,2014,56229,Petrol,Manual,Toyota
3052,Mercedes-Benz C-Class C,2850000,2017,40000,Diesel,Automatic,Hyundai
3053,Toyota Etios Liva,350000,2011,120000,Diesel,Manual,Maruti
3054,Hyundai Grand i10,400000,2014,71000,Diesel,Manual,Mahindra
3055,Maruti Wagon R,295000,2012,63000,CNG,Manual,Tata
3056,Mahindra Bolero 2011-2019,560000,2016,120000,Diesel,Manual,Maruti
3057,Tata Tiago 1.2,400000,2016,90000,Petrol,Manual,Maruti
3058,Maruti Swift VDI,450000,2012,100000,Diesel,Manual,BMW
3059,Maruti Eeco CNG,349000,2014,46311,CNG,Manual,Toyota
3060,BMW 5 Series,2111000,2015,55121,Diesel,Automatic,Maruti
3061,Toyota Fortuner 4x2,1350000,2013,168000,Diesel,Automatic,Mercedes-Benz
3062,Maruti Wagon R,320000,2013,40000,Petrol,Manual,Renault
3063,Mercedes-Benz SLK 350,2225000,2006,21000,Petrol,Automatic,Hyundai
3064,Renault KWID 1.0,315000,2017,18000,Petrol,Manual,Maruti
3065,Hyundai Santro Xing,175000,2010,60000,Petrol,Manual,Maruti
3066,Maruti Swift Dzire,900000,2019,22000,Diesel,Automatic,Toyota
3067,Maruti Wagon R,370000,2014,27000,Petrol,Manual,Maruti
3068,Toyota Innova 2.5,721000,2011,118000,Diesel,Manual,BMW
3069,Maruti Ertiga VXI,599000,2014,51000,Petrol,Manual,Ford
3070,BMW 3 Series,2250000,2016,43000,Diesel,Automatic,Ford
3071,Ford Figo Petrol,250999,2011,44000,Petrol,Manual,Honda
3072,Ford Figo Petrol,200000,2010,90000,Petrol,Manual,Tata
3073,Honda City 1.5,425000,2013,61000,Petrol,Manual,Maruti
3074,Tata Indica DL,50000,2007,90000,Diesel,Manual,Hyundai
3075,Maruti A Star,240000,2012,31652,Petrol,Manual,Mercedes-Benz
3076,Hyundai Grand i10,521000,2014,47985,Diesel,Manual,Hyundai
3077,Mercedes-Benz CLA 200,2800000,2018,45500,Diesel,Automatic,Hyundai
3078,Hyundai i20 Asta,380000,2013,167200,Diesel,Manual,Tata
3079,Hyundai EON Era,285000,2014,19000,Petrol,Manual,Toyota
3080,Tata Tiago 1.2,550000,2018,9000,Petrol,Automatic,Maruti
3081,Toyota Innova 2.5,1195000,2014,34000,Diesel,Manual,Maruti
3082,Maruti Wagon R,351000,2013,63000,CNG,Manual,Maruti
3083,Maruti Swift VDI,675000,2017,58832,Diesel,Manual,Maruti
3084,Maruti Ertiga VXI,575000,2014,34200,Petrol,Manual,Maruti
3085,Maruti Swift Dzire,275000,2010,90000,Petrol,Manual,Skoda
3086,Maruti Wagon R,320000,2013,43779,Petrol,Manual,Toyota
3087,Skoda Superb Elegance,1250000,2015,59000,Diesel,Automatic,Maruti
3088,Toyota Innova 2.5,830000,2012,75000,Diesel,Manual,Maruti
3089,Maruti Wagon R,400000,2016,72829,Petrol,Automatic,Hyundai
3090,Maruti Alto LXi,175000,2010,67789,Petrol,Manual,Volkswagen
3091,Hyundai i20 Sportz,575000,2016,23000,Petrol,Manual,Maruti
3092,Volkswagen Passat 2.0,775000,2012,75000,Diesel,Automatic,Maruti
3093,Maruti Alto K10,365000,2017,15798,Petrol,Manual,Honda
3094,Maruti S-Presso VXI,432000,2019,3000,Petrol,Manual,Renault
3095,Honda City 1.5,345000,2011,59000,Petrol,Manual,Hyundai
3096,Renault KWID RXT,270000,2016,25000,Petrol,Manual,BMW
3097,Hyundai Santro Sportz,575000,2019,19000,Petrol,Automatic,Honda
3098,BMW 5 Series,2395000,2013,25500,Diesel,Automatic,Hyundai
3099,Honda Jazz 1.2,775000,2018,14000,Petrol,Automatic,Honda
3100,Hyundai i20 1.2,699000,2018,31868,Petrol,Manual,BMW
3101,Honda CR-V 2.0,1370000,2015,44089,Petrol,Automatic,Maruti
3102,BMW 3 Series,1800000,2013,22000,Diesel,Automatic,Mercedes-Benz
3103,Maruti Baleno Alpha,675000,2017,41526,Petrol,Manual,Maruti
3104,Mercedes-Benz E-Class E,1125000,2013,63513,Petrol,Manual,Toyota
3105,Maruti Eeco 5,299000,2011,34304,Petrol,Manual,Toyota
3106,Toyota Fortuner 4x4,2750000,2017,109000,Diesel,Automatic,Renault
3107,Toyota Fortuner 4x2,1400000,2012,150000,Diesel,Automatic,Tata
3108,Renault Duster 110PS,550000,2014,61125,Diesel,Manual,Tata
3109,Tata Safari Storme,844999,2016,53000,Diesel,Manual,Maruti
3110,Tata Indica DLS,130000,2011,70000,Diesel,Manual,Mercedes-Benz
3111,Maruti Ciaz 1.3,810000,2017,40000,Diesel,Manual,Ford
3112,Mercedes-Benz E-Class E250,1985000,2015,75000,Diesel,Automatic,Skoda
3113,Ford Figo 1.2P,416000,2018,40000,Petrol,Manual,Maruti
3114,Skoda Rapid 1.6,525000,2014,54000,Petrol,Manual,Volkswagen
3115,Maruti Estilo LXI,120000,2009,100000,Petrol,Manual,Hyundai
3116,Volkswagen Polo 1.2,265000,2010,45000,Petrol,Manual,Chevrolet
3117,Hyundai EON Era,285000,2016,30000,Petrol,Manual,Mercedes-Benz
3118,Chevrolet Trailblazer LTZ,1950000,2017,27000,Diesel,Automatic,Honda
3119,Mercedes-Benz GL-Class 350,3275000,2013,70000,Diesel,Automatic,Hyundai
3120,Honda City i-VTEC,1100000,2017,15000,Petrol,Manual,Maruti
3121,Hyundai i20 Sportz,465000,2014,94343,Diesel,Manual,Chevrolet
3122,Maruti Ertiga VXI,675000,2015,57748,CNG,Manual,Volkswagen
3123,Chevrolet Beat LT,245000,2014,69000,Petrol,Manual,Chevrolet
3124,Volkswagen Vento 1.5,600000,2015,80000,Diesel,Manual,Toyota
3125,Chevrolet Tavera LS,350000,2010,98000,Diesel,Manual,Maruti
3126,Toyota Corolla Altis,425000,2011,43000,Petrol,Manual,Honda
3127,Maruti Ciaz 1.3,831000,2017,67000,Diesel,Manual,Fiat
3128,Honda CR-V 2.0,800000,2010,100000,Petrol,Manual,Maruti
3129,Fiat Punto 1.3,250000,2014,110000,Diesel,Manual,Skoda
3130,Maruti Zen LXI,95000,2003,46333,Petrol,Manual,Nissan
3131,Skoda Rapid 1.6,575000,2015,40418,Petrol,Automatic,Maruti
3132,Nissan Micra XL,325000,2014,28406,Petrol,Manual,Toyota
3133,Maruti Wagon R,450000,2017,51000,Petrol,Automatic,Maruti
3134,Toyota Innova Crysta,2100000,2019,9154,Diesel,Manual,Audi
3135,Maruti Ertiga VXI,480000,2012,90000,Petrol,Manual,Maruti
3136,Audi A4 35,1685000,2016,70000,Diesel,Automatic,Maruti
3137,Maruti S-Presso VXI,430000,2019,8500,Petrol,Manual,Hyundai
3138,Maruti Swift Dzire,540000,2018,110000,Diesel,Manual,Hyundai
3139,Hyundai i20 Magna,620000,2019,13000,Petrol,Manual,Ford
3140,Hyundai Elantra SX,828999,2015,49910,Petrol,Automatic,Maruti
3141,Ford Ecosport 1.5,600000,2015,70553,Diesel,Manual,Honda
3142,Maruti Alto K10,345000,2017,5914,Petrol,Manual,Hyundai
3143,Honda Amaze S,421000,2013,80000,Diesel,Manual,Honda
3144,Hyundai i10 Magna,500000,2011,15000,Petrol,Manual,Skoda
3145,Honda City 1.5,300000,2009,75000,Petrol,Manual,Datsun
3146,Skoda Laura 1.9,365000,2010,87000,Diesel,Automatic,Kia
3147,Datsun GO Plus,550000,2018,3300,Petrol,Manual,Hyundai
3148,Kia Seltos GTX,1850000,2019,10097,Petrol,Automatic,Audi
3149,Hyundai Xcent 1.2,511000,2014,15000,Petrol,Manual,Hyundai
3150,Audi Q7 2006-2020,1000000,2009,67000,Diesel,Automatic,Skoda
3151,Hyundai Verna VTVT,1075000,2017,12000,Petrol,Automatic,Hyundai
3152,Skoda Fabia 1.4,265000,2008,66000,Diesel,Manual,Maruti
3153,Hyundai i20 Magna,329000,2011,71000,Diesel,Manual,Toyota
3154,Maruti Wagon R,225000,2011,50000,CNG,Manual,Maruti
3155,Toyota Innova 2.5,991000,2014,140165,Diesel,Manual,Maruti
3156,Maruti Swift Dzire,455000,2012,61000,Diesel,Manual,Skoda
3157,Maruti Ciaz VDi,680000,2016,70000,Diesel,Manual,Volkswagen
3158,Skoda Laura 1.9,445000,2012,85000,Diesel,Automatic,Maruti
3159,Volkswagen Polo 1.5,509999,2016,63000,Diesel,Manual,Maruti
3160,Maruti Ritz VXi,311000,2013,86385,Petrol,Manual,Hyundai
3161,Maruti Swift VXI,521000,2016,24000,Petrol,Manual,BMW
3162,Hyundai i20 Sportz,525000,2015,48488,Petrol,Manual,Maruti
3163,BMW 5 Series,3350000,2017,22000,Diesel,Automatic,Toyota
3164,Maruti Baleno Alpha,850000,2018,33635,Diesel,Manual,Volkswagen
3165,Toyota Fortuner 4x2,1951000,2015,11500,Diesel,Manual,Ford
3166,Volkswagen Ameo 1.5,725000,2016,44000,Diesel,Manual,Hyundai
3167,Ford Freestyle Ambiente,650000,2018,40000,Diesel,Manual,Maruti
3168,Hyundai Verna 1.6,500000,2013,83000,Petrol,Automatic,Hyundai
3169,Maruti Ritz VDi,238000,2009,75253,Diesel,Manual,Hyundai
3170,Hyundai i20 Asta,591000,2015,17999,Petrol,Manual,Maruti
3171,Hyundai i20 Petrol,700000,2019,12000,Petrol,Manual,Maruti
3172,Maruti Wagon R,375000,2016,30000,CNG,Manual,Hyundai
3173,Maruti Swift Dzire,795000,2018,22000,Petrol,Automatic,Hyundai
3174,Hyundai Xcent 1.1,409999,2017,87000,Diesel,Manual,Hyundai
3175,Hyundai i20 Asta,550000,2015,50000,Petrol,Manual,Hyundai
3176,Hyundai i20 Sportz,685000,2016,43000,Diesel,Manual,Skoda
3177,Hyundai Grand i10,495000,2015,75000,Petrol,Automatic,Volkswagen
3178,Skoda Superb Elegance,795000,2015,59000,Petrol,Manual,Mahindra
3179,Volkswagen Polo GT,665000,2016,58000,Petrol,Automatic,Maruti
3180,Mahindra TUV 300,750000,2017,30000,Diesel,Manual,Hyundai
3181,Maruti Ertiga SHVS,875000,2017,19000,Diesel,Manual,Honda
3182,Hyundai Grand i10,500000,2015,51765,Petrol,Manual,Honda
3183,Honda City 1.5,380000,2011,100000,Petrol,Manual,Hyundai
3184,Honda City 2017-2020,700000,2016,56210,Petrol,Manual,Hyundai
3185,Hyundai i10 Magna,180000,2009,80000,Petrol,Manual,Hyundai
3186,Hyundai Creta 1.4,1050000,2018,8400,Diesel,Manual,Honda
3187,Hyundai Grand i10,525000,2015,55000,Petrol,Automatic,Tata
3188,Honda WR-V i-DTEC,750000,2017,23039,Diesel,Manual,Mahindra
3189,Tata Safari 2005-2017,490000,2009,120000,Petrol,Manual,Hyundai
3190,Mahindra XUV500 W8,750000,2013,95000,Diesel,Manual,Mercedes-Benz
3191,Hyundai Verna SX,375000,2009,66000,Diesel,Manual,Maruti
3192,Mercedes-Benz CLA 200,2750000,2018,12000,Petrol,Automatic,Honda
3193,Maruti 800 AC,50000,2008,78245,Petrol,Manual,Maruti
3194,Honda City 1.5,275000,2010,161445,Petrol,Manual,Hyundai
3195,Maruti Eeco CNG,490000,2016,5000,CNG,Manual,Hyundai
3196,Hyundai Getz 1.1,145000,2008,85000,Petrol,Manual,Skoda
3197,Hyundai i10 Sportz,285000,2011,102000,Petrol,Automatic,Honda
3198,Skoda Octavia 1.8,2375000,2019,4000,Petrol,Automatic,Honda
3199,Honda BRV i-VTEC,940000,2017,34000,Petrol,Automatic,Audi
3200,Honda WR-V i-DTEC,775000,2017,110000,Diesel,Manual,Honda
3201,Audi Q7 2006-2020,4800000,2016,40182,Diesel,Automatic,Audi
3202,Honda Amaze E,365000,2013,41000,Petrol,Manual,Honda
3203,Audi Q3 2.0,1500000,2012,80000,Diesel,Automatic,Maruti
3204,Honda Brio 1.2,550000,2017,25000,Petrol,Manual,Maruti
3205,Maruti Eeco CNG,400000,2015,16000,CNG,Manual,Maruti
3206,Maruti Swift VVT,582000,2018,8260,Petrol,Manual,Maruti
3207,Maruti Swift Dzire,395000,2011,64000,Diesel,Manual,Mahindra
3208,Maruti Vitara Brezza,790000,2017,39100,Diesel,Manual,Mahindra
3209,Mahindra Scorpio S3,950000,2018,27000,Diesel,Manual,Volkswagen
3210,Mahindra Thar DI,551000,2015,74000,Diesel,Manual,Hyundai
3211,Volkswagen Polo GT,650000,2014,13000,Petrol,Automatic,Maruti
3212,Hyundai EON Era,299000,2015,74000,Petrol,Manual,Skoda
3213,Maruti Wagon R,480000,2018,15000,Petrol,Manual,Audi
3214,Skoda Octavia Style,1170000,2016,27000,Petrol,Automatic,Fiat
3215,Audi A4 2.0,1375000,2013,35000,Diesel,Automatic,Chevrolet
3216,Fiat Punto 1.3,385000,2014,35000,Diesel,Manual,Mahindra
3217,Chevrolet Spark 1.0,150000,2011,20000,Petrol,Manual,Honda
3218,Mahindra XUV500 2011-2015,740000,2012,70000,Diesel,Manual,Skoda
3219,Honda City i-DTEC,975000,2018,15000,Diesel,Manual,Maruti
3220,Skoda Superb LK,1575000,2016,65000,Petrol,Automatic,Honda
3221,Maruti Swift VXi,509999,2016,13300,Petrol,Manual,Audi
3222,Honda Jazz 1.2,645000,2016,37000,Petrol,Automatic,Mahindra
3223,Audi A6 2.0,1798999,2014,50000,Diesel,Automatic,Maruti
3224,Mahindra XUV500 W10,1345000,2017,62000,Diesel,Manual,Maruti
3225,Maruti Ritz LDi,275000,2012,110000,Diesel,Manual,Maruti
3226,Maruti Baleno Delta,640000,2017,4414,Petrol,Manual,Jaguar
3227,Maruti Alto 800,275000,2016,24000,Petrol,Manual,Hyundai
3228,Jaguar XJ 3.0L,6000000,2015,10000,Diesel,Automatic,Nissan
3229,Hyundai i10 Magna,300000,2011,56653,Petrol,Manual,Hyundai
3230,Nissan Terrano XV,560000,2013,29650,Diesel,Manual,Maruti
3231,Hyundai i10 Sportz,370000,2012,37590,Petrol,Automatic,Hyundai
3232,Maruti Swift ZXi,350000,2011,30000,Petrol,Manual,Volkswagen
3233,Hyundai i20 Sportz,415000,2012,43784,Petrol,Manual,Audi
3234,Volkswagen Vento 1.2,610000,2014,56000,Petrol,Automatic,Maruti
3235,Audi Q3 30,2450000,2018,36000,Diesel,Automatic,Nissan
3236,Maruti Wagon R,150000,2007,35986,Petrol,Manual,Hyundai
3237,Nissan Kicks XE,850000,2020,7500,Diesel,Manual,Ford
3238,Hyundai i20 Asta,425000,2013,28000,Petrol,Manual,Volkswagen
3239,Ford Figo 1.5D,600000,2017,42267,Diesel,Manual,Maruti
3240,Volkswagen Polo Diesel,500000,2013,70000,Diesel,Manual,Hyundai
3241,Maruti Dzire ZXI,500000,2014,50000,Petrol,Manual,Maruti
3242,Hyundai EON 1.0,315000,2016,29119,Petrol,Manual,Jeep
3243,Maruti Celerio VXI,375000,2014,33231,Petrol,Automatic,Skoda
3244,Jeep Compass 2.0,1475000,2017,46706,Diesel,Manual,Maruti
3245,Skoda Octavia Elegance,999000,2015,115000,Diesel,Automatic,Ford
3246,Maruti Alto K10,369000,2017,6808,Petrol,Manual,BMW
3247,Ford Ecosport 2015-2021,550000,2015,50000,Petrol,Manual,Toyota
3248,BMW 5 Series,3300000,2017,21500,Diesel,Automatic,Hyundai
3249,Toyota Etios Liva,400000,2013,230000,Diesel,Manual,Maruti
3250,Hyundai Xcent 1.1,500000,2015,40000,Diesel,Manual,Honda
3251,Maruti Ritz VDi,371000,2013,54100,Diesel,Manual,Maruti
3252,Honda City i-VTEC,1191000,2018,25000,Petrol,Automatic,Maruti
3253,Maruti Baleno Zeta,625000,2016,20000,Petrol,Automatic,Mahindra
3254,Maruti Ciaz Sigma,710000,2018,35000,Petrol,Manual,Fiat
3255,Mahindra Scorpio VLX,445000,2010,110000,Diesel,Manual,Hyundai
3256,Fiat Grande Punto,470000,2015,30000,Diesel,Manual,BMW
3257,Hyundai i10 Sportz,320000,2011,82000,Petrol,Manual,Chevrolet
3258,BMW 5 Series,4200000,2018,36000,Diesel,Automatic,Maruti
3259,Chevrolet Enjoy TCDi,349000,2014,47123,Diesel,Manual,Maruti
3260,Maruti Vitara Brezza,955000,2017,55000,Diesel,Manual,Chevrolet
3261,Maruti Alto 800,275000,2015,19074,Petrol,Manual,Hyundai
3262,Chevrolet Beat PS,240000,2013,23686,Petrol,Manual,Toyota
3263,Hyundai Creta 1.6,955000,2015,83000,Diesel,Automatic,Honda
3264,Toyota Innova 2.5,975000,2013,128000,Diesel,Manual,Maruti
3265,Honda Civic 1.8,385000,2010,74000,Petrol,Automatic,Honda
3266,Maruti Swift Vdi,295000,2010,92182,Diesel,Manual,Maruti
3267,Honda Brio S,269000,2012,50000,Petrol,Manual,Maruti
3268,Maruti Ignis 1.2,525000,2017,47063,Petrol,Manual,Maruti
3269,Maruti Baleno Delta,665000,2019,20000,Diesel,Manual,Hyundai
3270,Maruti Ciaz Zeta,800000,2018,15000,Petrol,Manual,Maruti
3271,Hyundai EON Sportz,245000,2013,47000,Petrol,Manual,Maruti
3272,Maruti Swift Dzire,250000,2008,115000,Petrol,Manual,Hyundai
3273,Maruti Ertiga VXI,755000,2016,61149,Petrol,Manual,Hyundai
3274,Hyundai Verna VTVT,944999,2019,14200,Petrol,Manual,Maruti
3275,Hyundai i20 Active,750000,2018,16000,Petrol,Manual,Maruti
3276,Maruti Ertiga ZDI,670000,2013,187420,Diesel,Manual,Hyundai
3277,Maruti Ciaz VDi,610000,2015,49986,Diesel,Manual,Maruti
3278,Hyundai Grand i10,500000,2017,25000,Petrol,Manual,Maruti
3279,Maruti Ertiga VDI,665000,2014,96000,Diesel,Manual,Maruti
3280,Maruti Ertiga VXI,825000,2016,20000,CNG,Manual,Toyota
3281,Maruti Swift VDI,625000,2016,38000,Diesel,Manual,Tata
3282,Toyota Innova 2.5,400000,2008,190000,Diesel,Manual,Hyundai
3283,Tata Indica Vista,210000,2010,83573,Diesel,Manual,Ford
3284,Hyundai Santro Magna,509999,2019,7000,Petrol,Manual,Tata
3285,Ford Figo Diesel,294000,2013,46000,Diesel,Manual,Chevrolet
3286,Tata Tigor 1.2,650000,2018,10000,Petrol,Manual,Chevrolet
3287,Chevrolet Beat LT,254999,2014,69000,Petrol,Manual,Maruti
3288,Chevrolet Cruze LTZ,550000,2012,48000,Diesel,Automatic,Maruti
3289,Maruti Swift Dzire,498000,2012,79000,Diesel,Manual,Hyundai
3290,Maruti Alto K10,300000,2017,70000,Petrol,Manual,Maruti
3291,Hyundai Xcent 1.2,615000,2018,20000,Petrol,Manual,Hyundai
3292,Maruti Swift VDI,400000,2012,85000,Diesel,Manual,Maruti
3293,Hyundai i20 1.4,325000,2011,88000,Diesel,Manual,Tata
3294,Maruti Alto 800,265000,2014,16600,Petrol,Manual,Honda
3295,Tata Tiago 1.2,465000,2017,40000,Petrol,Manual,Toyota
3296,Honda City 1.5,486000,2013,37000,Petrol,Manual,Honda
3297,Toyota Innova 2.5,675000,2011,125000,Diesel,Manual,Toyota
3298,Honda City i,1150000,2018,18000,Diesel,Manual,Honda
3299,Toyota Innova 2.5,474000,2007,95000,Diesel,Manual,Honda
3300,Honda City i,750000,2015,35000,Petrol,Manual,Hyundai
3301,Honda Brio EX,299000,2012,35000,Petrol,Manual,Renault
3302,Hyundai i20 1.2,260000,2010,49000,Petrol,Manual,Honda
3303,Renault KWID RXT,335000,2017,19000,Petrol,Manual,Maruti
3304,Honda City S,300000,2008,165000,Petrol,Manual,Toyota
3305,Maruti Swift VDI,380000,2012,120000,Diesel,Manual,Mahindra
3306,Toyota Etios GD,450000,2016,80000,Diesel,Manual,Mini
3307,Mahindra KUV100 NXT,399000,2017,12950,Petrol,Manual,Skoda
3308,Mini Cooper Countryman,1490000,2013,35000,Diesel,Automatic,Hyundai
3309,Skoda Rapid 1.5,700000,2016,47000,Diesel,Automatic,Honda
3310,Hyundai Creta 1.6,1080000,2016,71000,Diesel,Automatic,Hyundai
3311,Honda WR-V i-DTEC,1000000,2018,40000,Diesel,Manual,Hyundai
3312,Hyundai Santro Xing,250000,2013,29000,Petrol,Manual,Maruti
3313,Hyundai Creta 1.6,985000,2017,31191,Petrol,Manual,Chevrolet
3314,Maruti Ertiga SHVS,950000,2016,50000,Diesel,Manual,Renault
3315,Chevrolet Spark 1.0,85000,2009,63000,Petrol,Manual,Renault
3316,Renault KWID AMT,349000,2017,19200,Petrol,Automatic,Volkswagen
3317,Renault Duster 110PS,528000,2013,72396,Diesel,Manual,Maruti
3318,Volkswagen Vento Diesel,350000,2011,164000,Diesel,Manual,BMW
3319,Maruti Baleno Delta,560000,2016,14500,Petrol,Manual,Toyota
3320,BMW 5 Series,1199000,2011,60000,Diesel,Automatic,Renault
3321,Toyota Innova 2.5,390000,2006,110000,Diesel,Manual,Jaguar
3322,Renault KWID 1.0,350000,2017,20000,Petrol,Manual,Audi
3323,Jaguar XF 2.0,3450000,2016,20837,Diesel,Automatic,Mahindra
3324,Audi Q3 35,2700000,2016,28237,Diesel,Automatic,Datsun
3325,Mahindra Supro VX,450000,2017,20000,Diesel,Manual,Jeep
3326,Datsun GO Plus,400000,2016,40000,Petrol,Manual,Hyundai
3327,Jeep Compass 2.0,1600000,2017,35000,Diesel,Manual,Hyundai
3328,Hyundai Verna 1.6,775000,2016,66523,Diesel,Manual,Maruti
3329,Hyundai Elantra SX,675000,2013,34800,Petrol,Automatic,Mercedes-Benz
3330,Maruti Swift Dzire,325000,2010,87000,Diesel,Manual,Skoda
3331,Mercedes-Benz M-Class ML,2675000,2014,69000,Diesel,Automatic,Jaguar
3332,Skoda Superb Elegance,375000,2010,64430,Petrol,Automatic,Honda
3333,Jaguar XF 2.2,2550000,2014,26000,Diesel,Automatic,Maruti
3334,Honda Amaze VX,375000,2014,110000,Diesel,Manual,Maruti
3335,Maruti Eeco 5,465000,2019,7647,Petrol,Manual,Mercedes-Benz
